"Tidstämpel","Participant ID
Can be seen in the macOS app","Which physical input method did you prefer?","Why?","Which physical input method did you experience being easier to estimate accuracy with?","Why?","Which physical input method did you find most comfortable?","Why?","Which wearable devices do you have experience using, if any?","Imagine a scenario where you are experiencing symptoms of anxiety throughout a period of time.

You are asked by a health care provider to track the occurrences and severity (on a scale between 0-10) of your symptoms.

You have different analog and digital solutions offered to complete this task.

Notebook 
You write entries in a notebook, making sure to include date, time and severity of your symptom.

App on mobile
On each occurrence you open an app on your mobile phone to record severity of your symptom. Date and time is automatically recorded.

App on smart watch
On each occurrence you open an app on your smart watch to record severity of your symptom. Date and time is automatically recorded.

Physical device with arm elevation (adjusting pitch)
On each occurrence you elevate your arm to indicate severity, and press the button to record. Date and time is automatically recorded.

Physical device with wrist rotation (adjusting roll)
On each occurrence you rotate your arm to indicate severity, and press the button to record. Date and time is automatically recorded.

Which solution would you prefer to apply?"
"2024/06/25 2:46:18 em EEST","11","Arm elevation (adjusting pitch)","Seems more accurate and intuitive","Arm elevation (adjusting pitch)","Seems more accurate and intuitive","Arm elevation (adjusting pitch)","","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with arm elevation (adjusting pitch)"
"2024/06/25 3:13:04 em EEST","12","Arm elevation (adjusting pitch)","Increased accuracy","Arm elevation (adjusting pitch)","Increased accuracy","Arm elevation (adjusting pitch)","I don't think I am used to keeping my wrist rotated for long","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with arm elevation (adjusting pitch)"
"2024/06/25 3:40:25 em EEST","13","Arm elevation (adjusting pitch)","It felt more natural","Arm elevation (adjusting pitch)","It felt easier to select a broader range of inputs (more dynamic range) ","Wrist rotation (adjusting roll)","Because I'm weak and I felt a strain after a while with the arm elevation","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Fitness trackers (e.g. Fitbit)","App on mobile"
"2024/06/25 4:02:10 em EEST","14","Arm elevation (adjusting pitch)","Easier (I think) to evaluate","Arm elevation (adjusting pitch)","Same as before :D","Wrist rotation (adjusting roll)","My elbow is a bit stupid","VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","App on mobile"
"2024/06/25 4:31:10 em EEST","15","Arm elevation (adjusting pitch)","A bit more range in motion allowed me to be more accurate","Arm elevation (adjusting pitch)","Wider range of motion ","Wrist rotation (adjusting roll)","Requires less effort and is more subtle","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on smart watch"
"2024/06/25 5:21:30 em EEST","16","Arm elevation (adjusting pitch)","More tangible – easier to understand the reference and to accurately depict the level of color/number (more room for nuance)","Arm elevation (adjusting pitch)","See above. More wiggle room basically. Visually easier to comprehend.","Wrist rotation (adjusting roll)","My arm can relax more (poor muscle strength)","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with wrist rotation (adjusting roll)"
"2024/06/25 7:11:32 em EEST","17","Wrist rotation (adjusting roll)","Arm elevation kunne i længden godt spænde i armen","Arm elevation (adjusting pitch)","Fordi afstanden i min optik kan præciseres bedre. med Wrist rotation kan uret godt glide og sidde skævt og på den måde give en ""skæv"" nøjagtighed.","Wrist rotation (adjusting roll)","Det er nemt for armen og du bruger ikke så meget energi i selve øvelsen","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on mobile"
"2024/06/25 8:19:56 em EEST","18","Arm elevation (adjusting pitch)","Its easier for me to imagine what to answer","Arm elevation (adjusting pitch)","Its easier to visualize the numbers and colors from that range ","Wrist rotation (adjusting roll)","Did not require as much as holding your arm up","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with arm elevation (adjusting pitch)"
"2024/06/26 4:55:43 em EEST","19","Arm elevation (adjusting pitch)","Det er en større range of motion, gør det nemmere at justere mere præcist","Arm elevation (adjusting pitch)","Det er en større range of motion, gør det nemmere at justere mere præcist","Arm elevation (adjusting pitch)","Bedre følelse","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on mobile"
"2024/06/26 5:20:19 em EEST","20","Arm elevation (adjusting pitch)","Better range , easier to move and note differences","Arm elevation (adjusting pitch)","Wider scale ","Arm elevation (adjusting pitch)","I felt more precise ","I don't use wearable devices","Notebook"
"2024/06/27 11:08:01 fm EEST","21","Arm elevation (adjusting pitch)","I feel like it was way easier to determinate the score on the bigger scale","Arm elevation (adjusting pitch)","Bigger range of motion + it feels more natural","Arm elevation (adjusting pitch)","To me it felt more natural and easier to set a score on a scale","VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with wrist rotation (adjusting roll)"
"2024/06/27 11:44:44 fm EEST","22","Wrist rotation (adjusting roll)","Less fatiguing and quicker (I was also in the gym the day before and I had some shoulder pain)","Arm elevation (adjusting pitch)","It is easier to find the 25%, 50%, 75% points","Wrist rotation (adjusting roll)","Smaller movement, while resting the arm","I don't use wearable devices","Physical device with wrist rotation (adjusting roll)"
"2024/06/27 12:16:10 em EEST","23","Arm elevation (adjusting pitch)","I feel that having a bigger range it is easier to me to give an accurate response","Arm elevation (adjusting pitch)","I feel that having a bigger range it is easier to me to give an accurate response","Wrist rotation (adjusting roll)","After a while using the arm elevation I was feeling tired. It did not happen with the wrist rotation","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Fitness trackers (e.g. Fitbit)","Physical device with arm elevation (adjusting pitch)"
"2024/06/27 12:43:31 em EEST","24","Wrist rotation (adjusting roll)","Using arm elevation gets more tiring","Arm elevation (adjusting pitch)","The angle to adjust was bigger","Wrist rotation (adjusting roll)","arm rotation was tiring","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on mobile"
"2024/06/27 1:42:02 em EEST","25","Arm elevation (adjusting pitch)","Felt more precise","Arm elevation (adjusting pitch)","More precise. Some friction on the wristband made me unsure when using wrist rotation whether the device was also rotated along with my wrist.","Arm elevation (adjusting pitch)","Rotating wrists is slightly uncomfortable for extended periods of time.","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with arm elevation (adjusting pitch)"
"2024/06/27 2:25:05 em EEST","26","Arm elevation (adjusting pitch)","more comfortable and easier to decide","Wrist rotation (adjusting roll)","couldn't really make a difference between the colors and numbers","Arm elevation (adjusting pitch)","easier movements","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on mobile"
"2024/06/27 2:50:45 em EEST","27","Arm elevation (adjusting pitch)","There is more granular control with arm elevation","Arm elevation (adjusting pitch)","There is a longer distance to move with arm elevation","Wrist rotation (adjusting roll)","Is less noticeable that you are actually measuring something","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with wrist rotation (adjusting roll)"
"2024/06/27 3:15:21 em EEST","28","Wrist rotation (adjusting roll)","Felt more natural ","Arm elevation (adjusting pitch)","It's a longer distance so it seems easier to estimate ","Wrist rotation (adjusting roll)","You can keep the arm on the table. It's more relaxed.","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Fitness trackers (e.g. Fitbit)","App on smart watch"
"2024/06/27 3:37:43 em EEST","29","Arm elevation (adjusting pitch)","the scale felt more precise ","Arm elevation (adjusting pitch)","the scale felt more precise ","Arm elevation (adjusting pitch)","it felt nicer, and easier to imagine a scale","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with arm elevation (adjusting pitch)"
"2024/06/27 4:11:47 em EEST","30","Wrist rotation (adjusting roll)","It is more comfortable to move your wrist than your whole arm. When that is said, I think wrist rotation is less precise.","Arm elevation (adjusting pitch)","The range of motion is easier to estimate, with a bigger ""span"" compared to just wrist movement.","Wrist rotation (adjusting roll)","It is just more comfortable to only move your wrist than the whole arm.","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro);I don't use wearable devices","App on mobile"
"2024/06/27 4:41:10 em EEST","31","Wrist rotation (adjusting roll)","it is easier and requires less motion. does not call attention from onlookers.","Wrist rotation (adjusting roll)","i felt pressure to be more accurate with arm elevation, but giving a more rough estimation with wrist.","Wrist rotation (adjusting roll)","easier movement","I don't use wearable devices","App on smart watch"
"2024/06/27 5:58:39 em EEST","32","Arm elevation (adjusting pitch)","More scale/room for movement. ","Arm elevation (adjusting pitch)","","Wrist rotation (adjusting roll)","Because of gravity","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with arm elevation (adjusting pitch)"
"2024/06/28 2:10:09 em EEST","33","Wrist rotation (adjusting roll)","It was quicker to rotate  wrist","Arm elevation (adjusting pitch)","Because of the angle it's easier to estimate","Arm elevation (adjusting pitch)","","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","Physical device with arm elevation (adjusting pitch)"
"2024/07/09 2:11:24 em EEST","34","Wrist rotation (adjusting roll)","more comfortable , and less distance to make predict the values","Wrist rotation (adjusting roll)","more comfortable , and less distance to make predict the values","Wrist rotation (adjusting roll)","more comfortable , and less distance to make predict the values","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on mobile"
"2024/07/09 2:51:14 em EEST","35","Arm elevation (adjusting pitch)","More precision","Arm elevation (adjusting pitch)","Wider range in movement + I find it easier to determine if im 0% or 100%, with the wrist rotation I don't feel that consistent","Arm elevation (adjusting pitch)","I have a better elbow than wrist","I don't use wearable devices","Notebook"
"2024/07/09 3:13:51 em EEST","36","Arm elevation (adjusting pitch)","Felt like I had more room - and more control","Arm elevation (adjusting pitch)","Felt like I had more room - and more control","Wrist rotation (adjusting roll)","More natural","VR, Spacial Computing (e.g. Meta Quest, Vision Pro);I don't use wearable devices","Physical device with arm elevation (adjusting pitch)"
"2024/07/09 3:40:47 em EEST","37","Wrist rotation (adjusting roll)","discrete, fast","Wrist rotation (adjusting roll)","wrist has a more intiutive scale response for me, but arm might have been more acurate. ","Wrist rotation (adjusting roll)","low effort","I don't use wearable devices","Physical device with wrist rotation (adjusting roll)"
"2024/07/09 4:08:09 em EEST","38","Arm elevation (adjusting pitch)","Felt more accurate and easier to adjust","Arm elevation (adjusting pitch)","Felt more accurate and easier to adjust","Arm elevation (adjusting pitch)","Felt more accurate and easier to adjust","Fitness trackers (e.g. Fitbit)","App on smart watch"
"2024/07/09 4:42:49 em EEST","39","Wrist rotation (adjusting roll)","As an actual product, I would prefer using just the wrist rotation as it's less movement required and ""invasive"". Though as a measuring method, the arm elavation was easier to understand and visualize.","Arm elevation (adjusting pitch)","Easier to visualize the arm elavation percentages.","Wrist rotation (adjusting roll)","Smaller movements required and faster.","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","App on smart watch"
"2024/07/09 4:58:55 em EEST","40","Wrist rotation (adjusting roll)","I'm lazy","Arm elevation (adjusting pitch)","Larger scale","Wrist rotation (adjusting roll)","Less movement","Fitness trackers (e.g. Fitbit)","App on mobile"
